SK_ID_CURR,TARGET
100001,0.292
100005,0.342
100013,0.184
100028,0.228
100038,0.444
100042,0.292
100057,0.214
100065,0.322
100066,0.198
100067,0.464
100074,0.326
100090,0.306
100091,0.498
100092,0.438
100106,0.288
100107,0.392
100109,0.242
100117,0.278
100128,0.428
100141,0.31
100150,0.214
100168,0.134
100169,0.336
100170,0.242
100171,0.196
100172,0.396
100184,0.314
100187,0.346
100212,0.32
100222,0.408
100223,0.216
100232,0.208
100241,0.488
100245,0.196
100253,0.232
100256,0.416
100271,0.2
100278,0.456
100280,0.18
100306,0.468
100311,0.622
100312,0.222
100330,0.378
100331,0.26
100352,0.356
100358,0.34
100367,0.178
100382,0.532
100384,0.32
100385,0.35
100386,0.406
100399,0.21
100404,0.47
100416,0.272
100422,0.424
100426,0.262
100438,0.28
100444,0.52
100445,0.476
100446,0.588
100447,0.25
100450,0.442
100466,0.228
100483,0.272
100484,0.206
100494,0.346
100510,0.472
100512,0.274
100517,0.144
100548,0.242
100551,0.256
100552,0.444
100553,0.274
100561,0.402
100568,0.668
100569,0.248
100591,0.33
100592,0.206
100602,0.336
100607,0.214
100613,0.342
100617,0.542
100618,0.338
100622,0.28
100625,0.404
100677,0.528
100699,0.228
100702,0.712
100711,0.392
100729,0.45
100740,0.554
100744,0.468
100745,0.37
100747,0.388
100751,0.59
100752,0.284
100753,0.63
100754,0.466
100760,0.26
100762,0.27
100763,0.444
100765,0.158
100770,0.388
100772,0.144
100777,0.226
100791,0.286
100792,0.228
100797,0.174
100823,0.216
100826,0.294
100830,0.216
100836,0.444
100872,0.426
100910,0.338
100913,0.518
100918,0.346
100931,0.144
100952,0.208
100953,0.246
100965,0.546
100970,0.196
100982,0.478
100983,0.616
100984,0.268
100987,0.34
100997,0.39
100998,0.428
101002,0.318
101005,0.592
101008,0.492
101020,0.3
101021,0.308
101024,0.346
101025,0.362
101026,0.322
101031,0.124
101041,0.27
101051,0.164
101055,0.416
101056,0.64
101057,0.308
101064,0.312
101079,0.426
101087,0.294
101090,0.148
101092,0.466
101097,0.394
101099,0.21
101107,0.336
101118,0.36
101125,0.426
101126,0.198
101128,0.242
101136,0.448
101140,0.406
101149,0.48
101160,0.282
101169,0.552
101181,0.304
101186,0.224
101190,0.494
101193,0.46
101194,0.51
101198,0.386
101200,0.296
101204,0.168
101211,0.354
101213,0.466
101223,0.314
101225,0.436
101237,0.434
101243,0.328
101244,0.526
101258,0.238
101259,0.524
101268,0.384
101269,0.212
101271,0.3
101279,0.252
101281,0.426
101287,0.176
101292,0.254
101294,0.266
101296,0.378
101297,0.28
101299,0.43
101301,0.394
101305,0.47
101308,0.466
101318,0.228
101327,0.628
101329,0.22
101332,0.298
101337,0.288
101343,0.18
101345,0.182
101346,0.152
101353,0.204
101354,0.49
101355,0.594
101356,0.162
101362,0.324
101363,0.602
101365,0.128
101366,0.344
101367,0.524
101368,0.158
101374,0.458
101380,0.212
101383,0.19
101398,0.228
101399,0.61
101401,0.53
101412,0.384
101426,0.204
101427,0.704
101428,0.4
101429,0.408
101434,0.216
101440,0.302
101448,0.294
101449,0.306
101465,0.276
101467,0.25
101472,0.342
101478,0.39
101497,0.33
101504,0.37
101547,0.286
101548,0.428
101555,0.492
101570,0.244
101572,0.348
101578,0.374
101580,0.508
101588,0.478
101602,0.26
101610,0.45
101614,0.294
101616,0.378
101643,0.36
101644,0.202
